"consignee","product","weightKG"
"SUN MARK FOODS LTD.","CARROTS, REDUCED IN SIZE,FR/CH2400 CTNFRESH CARROTTEMP 0.5CVENT 25CBM",24720
"DAISY GLOBAL TRADING CO.","1,900 CTN OF;FROZEN ORIENTAL STYLE UDON1.25KG X 8 1900CTN 17,064KG;-TEMP- -20-C-VENT- CLOSED-P-INVOICE NO.DGT12-27",17747
"SUPERVALU INTERNATIONAL 495 EAST","CANNED MANDARIN ORANGES IN CANNED MANDARIN ORANGES IN LIGHT SYRUP S C#71606 NO WOOD PACKING MATERIAL CONTAINED",22200
"COSTCO WHOLESALE CORPORATION","SERPENTINE SHAPE MEDIA MANTEL A/C COSTCO WHOLESALE CORPORATION COSTCO PO NO. 1751014652 208 CTNS . SERPENTINE SHAPE MEDIA MANTEL DETAIL OF COMMODITY 32IMM2995-W509+32II300GRA . THE SHIPMENT DOES NOT CONTAIN ANY SOLID WOOD PACKING MATERIAL IF APPLICABLE CPSIA URL - WWW.COSTCOCPSIA.COM 'CPSIA CERTIFICATE WWW.ICIX.COM/LINK/ COSTCO/CPSIACERTIFICATION'@ PROVINCE, CHINA CONTACT PERSON WENDY EMAIL ADD. WENDY@TWINSTARHOME.COM.CN TEL NO 0769-85424502-1005 FAX NO.0769-85424504 AS AGENT FOR SI SHIPMENT",11080
"PRODUCTOS DEL PLATA INC","PREPARED FOODS,OTHER,FROZEN2951 BOXES ON 21 PALLET CONTAINNING:COOKIES, YERBA MATE, CANDIES, COOKED MATE,BREADCRUMBSBISCUIT, MAYONNAISE, CHOCOLATE-COVEREDWAFERS, FLOURAPPERITIVE, GUM, TEA, BEVERAGES, MINERALWATERNCM: 0902.40.00.100HNCM: 0903.00.90.100HNCM: 0903.00.90.900BNCM: 1704.90.20.129GNCM: 1704.90.20.900ZNCM: 1901.20.00.112CNCM: 1901.20.00.119TNCM: 1905.31.00.199UNCM: 1905.32.00.111MNCM: 1905.90.20.990KNCM: 1905.90.90.220TNCM: 2103.30.21.200KNCM: 2103.90.11.200KNCM: 2104.10.11.120RNCM: 2106.90.10.190GNCM: 2106.90.50.100RNCM: 2201.10.00.120ANCM: 2202.10.00.190RP.E. 12001EC01019590H",15782
"TRIPLE T TRADING","HIKERS . . . . . . . . . . . . .",2801
"TV FOOD CO.","FROZEN SPRING ROLL,NOODLE,LEMONGRASS,FISH MEAT,CORN,TARO",21000
"RICH PRODUCTS","PLASTIC BAGS PLASTIC BAGS-NY15(NYLON)AND LLDPE105(POLYETHYLENE)",1653
"CHEUNG KONG HOLDING INC.","CANNED BAMBOO SHOOT FDA REGISTRATION NO.1075165779CANNED BAMBOO SHOOT FDA REGISTRATION NO.1075165779",39312
"OCEAN BLUE WATER PRODUCTS, LLC","INFLATABLE POOL PRODUCTS",14021
"UPS SUPPLY CHAIN SOLUTIONS, INC.","AGRICULTURAL PARTS HS#8429.5210, 8431.4920",18186
"TO THE ORDER OF GLENN SALES CO","281 MASTER CARTONS WITH11.240 POUNDS OF FROZENWHITING FILLETS, SKIN ON,FEWPINBONES, INTERLEAVEDGROSS WEIGHT: 5,423TONS1.706 MASTER CARTONSWITH42.650 POUNDS OF FROZENSKINLESS, HEADED ANDGUTTEDWHITING, TAIL IN,IQFGROSS WEIGHT: 21,052TONSFDA REGISTRATION NBR.:16903329952REFERENCE TYPE (ABT)- 03037800, 03042910FREIGHT COLLECT",26475
"HELLMANN WORLDWIDE LOGISTICS","FREIGHT PREPAIDWITH 2,024 PLASTIC ROLLS EACH CONTAINSGLASS FIBER YARN G-75 (120 ROLLS IN EVERY PAC70191999 (B)",22645
"MR. DANIEL NUNEZ","1 UNIT USED VEHICLE NISSAN CIVILIAN",3510
"WAL-MART STORES, INC.","20 X 48 FOLDING TALBE P.O. NO. 3001907687 ITEM 1782819 CASES 2180 VENDOR DECLARE TH IS SHIPMENT CONTAINS NO REGULATED WOOD PACKIN G MATERIAL. GLN NO. 0078742000008 CLASS NO. 0023 DEPT NO. 00017 20 X 48 FOLDING TALB E P.O. NO. 3001907687 ITEM 1782819 CASES 2180 VENDOR DECLARE THIS SHIPMENT CONTAINS N O REGULATED WOOD PACKING MATERIAL. GLN NO. 0078742000008 CLASS NO. 0023 DEPT NO. 00017 FREIGHT COLLECT",33790
"HANULTARI AGRICULTURE CORPORATION","FORAGE PRODUCTS NESOI (HAY, CLOVER, VETCHES, FORAGE PRODUCTS NESOI (HAY, CLOVER, VETCHES, FORAGE PRODUCTS NESOI (HAY, CLOVER, VETCHES, FORAGE PRODUCTS NESOI (HAY, CLOVER, VETCHES, FORAGE PRODUCTS NESOI (HAY, CLOVER, VETCHES, ALFALFA HAY",119340
"SURAM TRADING","1,800 CASES FROZEN SHRIMP P O# : 08140181 BRAND : ROYAL W HITE GROSS WEIGHT : 39,600.00 LBS = 17,978.40 KGS NETTO W EIGHT : 36,000.00 LBS = 16,34 4.00 KGS",18016
"HELLMANN WORLDWIDE LOGISTICS","AUDITED 5478 PACKAGE(S) ON 20 SKIDS DISC BRAKE PADS US HTS: 8708.30.91 INVOICE NO.: PP142218 EORI NO.: CZ25605666 TOT PKGS 5478 PK FREIGHT PREPAID GENERAL CMA CGM TERMS AND CONDITIONS TO BE FOUNDER WWW.CMA-CGM.COM THIS MASTER BILL COVERS AUTOMATED NVOCC HOUSEBILL.",15366
"UNITED CARGO MANAGEMTN CANADA,INC","(SOCKS)SOCKS A/C:MDF INT-L TRADE",5152
"GOLDEN BRIDGE INTERNATIONAL INC.","APPLE JUICE CONCENTRATE",21024
"COSTCO WHOLESALE 415 WEST HUNT CLU","56IN TOOL CHEST",10005
"HELLMANN WORLDWIDE LOGISTICS INC.","FCL/FCL HB/L :HKGLGB821097 TOTAL:1X45- HQ CONTAINER ONLY",7073
"BUMBLE BEE FOODS LLC","FROZEN PRE-COOKED SKIPJACK TUNA LOINS SINGLE CLEANING WITH 10% FLAKES (SANDWICH STYLE) NET WEIGHT: 17,248.00 KGS COP: P16891/MAR/13 FROZEN PRE-COOKED SKIPJACK TUNA LOINS SINGLE CLEANING WITH 10% FLAKES (SANDWICH STYLE) NET WEIGHT: 17, 248.00 KGS COP: P16891/MAR/13 FROZEN PRE-COOKED SKIPJACK TUNA LOINS SINGLE CLEANING WITH 10% FLAKES (SANDWICH STYLE) NET WEIGHT: 17,248.00 KGS COP: P16891/MAR/13 FROZEN PRE-COOKED SKIPJACK TUNA LOINS SINGLE CLEANING WITH 10% FLAKES (SANDWICH STYLE) NET WEIGHT: 17,248.00 KGS COP: P16891/MAR/13 FROZEN PRE-COOKED SKIPJACK TUNA LOINS SINGLE CLEANING WITH 10% FLAKES (SANDWICH STYLE) NET WEIGHT: 17,248.00 KGS COP: P16891/MAR/13 FROZEN PRE-COOKED SKIPJACK TUNA LOINS SINGLE CLEANING WITH 10% FLAKES (SANDWICH STYLE) NET WEIGHT: 17,248.00 COP: P16891/MAR/13 FROZEN PRE-COOKED SKIPJACK TUNA LOINS SINGLE CLEANING WITH 10% FLAKES (SANDWICH STYLE) NET WEIGHT: 17248.00 KGS COP: P16891/MAR/13 FROZEN PRE-COOKED SKIPJACK TUNA LOINS SINGLE CLEANING WITH 10% FLAKES (SANDWICH STYLE) NET WEIGHT: 17,248.00 KGS COP: P16891/MAR/13 FROZEN PRE-COOKED SKIPJACK TUNA LOINS SINGLE CLEANING WITH 10% FLAKES (SANDWICH STYLE) NET WEIGHT: 17, 248.00 KGS COP: P16891/MAR/13 FROZEN PRE-COOKED SKIPJACK TUNA LOINS SINGLE CLEANING WITH 10% FLAKES (SANDWICH STYLE) NET WEIGHT: 17,248.00 KGS COP: P16891/MAR/13 FROZEN PRE-COOKED SKIPJACK TUNA LOINS SINGLE CLEANING WITH 10% FLAKES (SANDWICH STYLE) NET WEIGHT: 17,248.00 KGS COP: P16891/MAR/13 FROZEN PRE-COOKED SKIPJACK TUNA LOINS SINGLE CLEANING WITH 10% FLAKES (SANDWICH STYLE) NET WEIGHT: 17,248.00 KGS COP: P16891/MAR/13",208636
"COSTCO WHOLESALE CORPORATION","MICROFIBER CLOTH @NORTHERN CHANGSHU CITY JIANGSU",10735
"WALONG MARKETING INC.","FROZEN ORIENTAL PLAIN PANCAKE, ...",21087
"GRAND SUPERCENTER INC.","KOREAN SINGO PEARS",14280
"NORTHWESTERN SELECTA","REFRIGERATED BONELESS BEEF1 X 40- RHC CONTAINER SWLAC764 BOXESCARNE DE RES REFRIGERADADESHUESADA.FREIGHT COLLECTSHIPPER-S LOAD, STOW, WEIGHTAND COUNTTEMP SET @VENTILATIONEQUIPMENT SUSTITUTION",17595
"JFC INTERNATIONAL INC.","FROZEN JAPANESE STYLE NOODLE HS CODE:190219 FROZEN JAPANESE STYLE NOODLE W/OUT SOUP 'SUNDELIC FOOD' ============================= ORDER NO. 8063840 TEMPERATURE -20C 'NO-WPM' INV.NO. 478-07 ============================== 1,150 BUNDLES (2,300 CARTONS) SAY: ONE (1) CONTAINER ONLY.",18512
"SUNNYWELL SEAFOOD TRADING COMPANY","1589 CARTONS OFFROZEN BREADED SHRIMPFARM RAISEDSIZE 21/25PACKING 8 X 3.0LBS/CTNPRODUCT OF MALAYSIA;FROZEN SHRIMP TARIFF: 0306.13.000COUNTRY OF ORIGIN: MALAYSIA;SHIPPER DECLAREDTHIS SHIPMENT CONTAINS NO SOLIDWOOD PACKING MATERIALS.;'CARGO IS STOWED IN A REFRIGERATEDCONTAINER SET AT THE SHIPPER-SREQUESTED CARRYING TEMPERATURE OFMINUS EIGHTEEN (-18.0) DEGREESCELSIUS'",18000
"COSTCO WHOLESALE CORPORATION","STAINLESS STEEL GAS GRILL COSTCO PO NO. 9601113874 100CTNS STAINLESS STEEL GAS GRILL ITEM NO. 674048 / 720-0733A A/C COSTCO WHOLESALE CORPORATION DETAIL OF COMMOCITY GAS GRILL THE SHIPMENT DOES NOT CONTAIN ANY GAS. . THE SHIPMENT DOES NOT CONTAIN ANY SOLID WOOD PACKING MATERIAL. . IF APPLICABLE CPSIA URL - WWW.COSTCOCPSIA.COM 'CPSIA CERTIFICATE WWW.ICIX.COM/LINK/ COSTCO/CPSIACERTIFICATION' . SHIPPER NEXGRILL INDUSTRIES INC. NO. 33 YU WO TOU RD, DONG CHONG, NANSHA, CONTACT PERSON IRENE LIANG EMAIL ADD. WELDONSHIPPING@NEXGRILL.COM TEL NO +86 020-3492 2828 EXT 289 FAX NO.+86 020-3492 2368",8150
"PEGASUS MARITIME INC","MULTI GRAIN FLOUR, WHEAT FLOUR HS CODE: 11061000, 11010000 FREIGHT COLLECT EXPORTER REFERENCE NUMBER: 4109900898 1 1)ORIGIN DOMESTIC / IN LAND :PREPAID BASIS 2)ORIGIN THC: PREPAID BASIS INVOICE PARTY : NOBLE SHIPPING PVT. LT D. +++++++++++++++++++++++ 1)OCEAN : COLLECT BASIS 2)D ESTINATION THC: COLLECT BASIS 3)DESTINATION DOMESTIC / INL AND: COLLECT BASIS INVOICE P ARTY : PEGASUS MARITIME INC",19728
"COSTCO WHOLESALE CORPORATION","FINISHED UPHOLSTERY PRODUCTS FINISHED UPHOLSTERY PRODUCTS PO#960-0911-330 IF APPLICABLE CPSIA URL - WWW.COSTCOCPSIA.COM",2886
"HONG CHANG CORP.10135 PAINTER","FROZEN WILD CAUGHT POLLOCK FILLETSTEMPERATURE SET AT:-18CEB09/0877THIS SHIPMENT CONTAINS NO SOLIDWOOD PACKING MATERIALFREIGHT PREPAID",23500
"COSTCO WHOLESALE CORPORATION","BICYCLES BICYCLES PO#9600925559 THE SAME THE SAME THE SAME THE SAME THE SAME",5166
"RICHWELL GROUP, INC.","FROZEN TILAPIA FILLETSNET WEIGHT- 44000LBS-19976.00KGSFDA NO.- 15377054146QUOTE SET AT -18 DEGREESCENTIGRADE.QUOTE THIS SHIPMENT CONTAINS NOWOOD PACKING MATERIAL.",22000
"WAL-MART STORES, INC.","PLASTIC TOYS P.O.NO. 4151986339 DEPT NO 000 07 PO TYPE 0023",8811
"SAFCOL USA INC.","CANNED FOODSTUFF 24 X 3.53 OZ (POUCH PACK) PRODUCT OF THAILAND IN TRANSIT TO EAST LONGMEADOW, MA, USA",12600
"BELS FOOD INTERNATIONAL","1447 CASES ASSORTED DRY FOODSTUFFS SUCH AS FRUIT PRESERVES, SNACKS, MIXES AND CONDIMENTS 17,618.95 KGS 60.069 CBM 250 CASES ASSORTED FOOD SNACKS AND CANNED GOODS 1520.00KGS 9.315 CBM",19139
"FIRST CHOICE SEAFOOD","FROZEN WHOLE BOILED CLAM",23000
"DDP INTERNATIONAL INC.","HARDWAREMETAL MILL PARTS",18500
"GOLDEN BRIDGE INTERNATIONAL,INC","BLANKETBLANKETBLANKETBLANKET",29940
"WAL-MART STORES INC.","KNIT SYNTHETIC FIBER BLEND SOCKS P.O.NO. 7351680570 HTS CODE 6115939020 VENDOR DECLARE THIS SHIPMENT CONTAINS NO REGULATED WOOD PACKING MATERIAL. IRREVOCABLE LETTER OF CREDIT L/C # CLC00071960",1834
"WALONG MARKETING INC.","SEAWEED LAVERKOREAN FOODSHANASIA SEAWEED LAVER 36X3X5G(ITEM # 635100) (PE)@@PO NO.-90026567F.O.B BUSAN, KOREANET WEIGHT: 372.60 KG@@@-3299",1932
"NEW BRUNSWICK LIQUOR COMISSION","EFFERVESCENT WINE, CONT <= 2 LWINEEFFERVESCENT WINE, CONT <= 2 L949 CASE(S) WINES",14539
"GAMMA SEAFOOD CORPORATION","CASESCOUNT AND SEALAD CASESFROZEN FILLET FISHREQUIRED SHIPPING TEMP 0 FTONS 22 67248",22720
"ADVANCED FRESH CONCEPTS","FROZEN IMITATION CRABMEAT SHIPPER LOAD STOW COUNT 1 300 CARTONS FROZEN IMITATION CRABMEAT 750 CARTONS FILAMENT CRAB STICK",19445
"COSTCO WHOLESALE CORPORATION","ARTIFICIAL LIGHTED GARLAND P.O.# 171-329-402 SHIPPER: CENTRE, 1 HOK CHEUNG ST. HUNG HOM, SOLID WOOD PACKING MATERIAL",4866
"COSTCO WHOLESALE CORPORATION","PROPANE CYLINDERS 20 LB EMPTY PROPANE CYLINDERS L/C NO. T10074392 DD.060628 (P/O NO. 267-0920-357) HR CODE 7311000",14256
"HELLMANN WORLDWIDE LOGISTICS INC","PORT PORT +++ OC DAT FREIGHT PREPAID",11940
"WAL-MART STORES, INC.","FG MAUDE GRY CORD",28470
"HARAM CHRISTENSEN CORP.","BISCUITSHTS: 19053199",672
"WAL-MART STORES INC.","COTTON TERRY TOWELS",32345
"NISSIN INTERNATIONAL TRANSPORT (U.S","PARTS FOR MOTOR VEHICLES, N.O.S.",4280
"AMERICAN SEAFOOD IMPORT CORP.","FOOD PREPARATIONS NESOI 1 300 MASTER CARTONS VANNAMEI H L N.W. 31 200.00 LBS G.W. 39 000.00 LBS MADE OUT TO ORDER",17690
"PACIFIC CORAL SEAFOOD INC.","4,400 BOXES CONTAINING-;FROZEN MAHI MAHI -CORYPHAENAHIPPURUS- PORTIONS, RAW SKINLESS,BONELESS, BLOOD LINE REMOVED,IQF, PACKED IN 2 X 5 LB -PACIFICSTRAITS- CARTONS;1-2 OZ 1,060 LB2-4 OZ 4,080 LB;FROZEN MAHI MAHI -CORYPHAENAHIPPURUS- PORTIONS, RAW SKINLESS,BONELESS, BLOOD LINE REMOVED,INDIVIDUALLY VACUUM PACK, PACKEDIN 1 X 10 LB -PACIFIC STRAITS-CARTONS;4 OZ 7,500 LB6 OZ 15,670 LB8 OZ 15,690 LB;TEMPERATURE- -18 CTOTAL NET WEIGHT- 44,000 LBHTSU- 0304.99.00.00FDA NUMBER REGISTRATION-11834084058P-O # PER-029-12;;FREIGHT PREPAID",22650
"HELLMANN WORLDWIDE LOGISTICS POLSKA","PLASTIC PARTS /PARTES PLASTICAS 39269099 (HS) FREIGHT PREPAID PLASTIC PARTS /PARTES PLASTICAS 39269099 (HS)",17106
"COSTCO WHOLESALE CORPORATION","PORTABLE JUMP PORTABLE JUMP/AIR COMP 12V PO#960-0227-521 IF APPLICABLE CPSIA URL - WWW.COSTCOCPSIA.COM @FAX 86-574-63264222",16100
"RYDER CRSA LOGISTICS","986 CTN704 CTNLADIES 82 POLYAMIDE 18 ELASTANEKNITTED SWIMWEARAS PER PO 4273BC/ 4273BC/4273PMLADIES GARMENT1PC SOLID PONTE DRESSP.O 31127LADIES WOVEN BLOUSE 100 POLYESTERN/ALADIES KNITTED TANK TOP SINGLET100 POLYESTERPO 253390LADIES WOVEN BLOUSE 100 POLYESTERN/APO 251539LADIES CAMI94 PCT POLYESTER 6 PCT SPANDEXP.O 38709,38711,38741,38712LADIES KNIT SWEATERPO 999260PO 999261WOMEN S 100 COTTON KNITTED SHIRTPO E0397642-0002PO E0397857-0002PO E0397854-0002ACI CODE 801CS/C NO. 8046336A10SHIPPED ON BOARDDEC. 10, 2010986 CTN704 CTNLADIES 82 POLYAMIDE 18 ELASTANEKNITTED SWIMWEARAS PER PO 4273BC/ 4273BC/4273PMLADIES GARMENT1PC SOLID PONTE DRESSP.O 31127LADIES WOVEN BLOUSE 100 POLYESTERN/ALADIES KNITTED TANK TOP SINGLET100 POLYESTERPO 253390LADIES WOVEN BLOUSE 100 POLYESTERN/APO 251539LADIES CAMI94 PCT POLYESTER 6 PCT SPANDEXP.O 38709,38711,38741,38712LADIES KNIT SWEATERPO 999260PO 999261WOMEN S 100 COTTON KNITTED SHIRTPO E0397642-0002PO E0397857-0002PO E0397854-0002ACI CODE 801CS/C NO. 8046336A10SHIPPED ON BOARDDEC. 10, 2010",13092
"COSTCO WHOLESALE","MARIS STACKING CHAIR SHIPPERS DESIRE TO STATE THAT PO#960-1213-257 IF APPLICABLE CPSIA URL - WWW.COSTCOCPSIA.COM",5859
"WHITE TOQUE INC","FROZEN RAVIOLES",412
"UPS SUPPLY CHAIN SOLUTIONS","AMLODIPINE BESYLATE TAB USP 5MG-1000'S(US) - 15,600 BT H.S. CODE 30049072S/BILL NO. 5204085 DT. 25.09.2011NET WT. 3,120.000 KGSETTEMPERATURE PLUS 18 DEG. CELCIUSACD PREPAID",6118
"NORTHWESTERN MEAT SELECTA, INC","1X40-REEFER CONTAINER CONTAINS798 BOXES CONTAINING:FRESH BONELESS BEEF MEAT;SHIPPER-S WEIGHT, LOAD AND COUNT;QUALITY AND CONDITIONS OF CARGOUNKOWN TO CARRIERFREIGHT COLLECT",19043
"DAISO CALIFORNIA, LLC","PAPER PLATE PAPER PLATE PAPER PLATE",10734
"KIDS PREFERRED LLC","EC JACK IN THE BOX (TOYS) HS CODE:950300 .",3636
"MBM INTERNATIONAL LOGISTICS,LLC","PROCESSED NATURAL STONE TILES THIRTY FOUR WOODEN CRATES ONLY PROCESSED NATURAL STONE TILES NO OF PCS 6905 INV NO:SW/1235 DT:25.05.2007 SB NO:1727525 DT:26.05.2007 HTS :251400",20000
"LIMSON TRADING INC.","TUNA, CHUNK STYLE, IN BRINE OR WATER (WITHOR WITHOUT VEG. BROTH) [CHUNK LIGHTSKIPJACK TUNA IN WATER] PRODUCT CODE :HDJCB 075 20 CAN DIMENSIONS : 603 X 408PACKING: 6 CANS PER CARTON TOTAL NET WEIGHT:17,055 KGS. THIS SHIPMENT CONTAIN NO SOLIDWOOD PACKING MATERIAL.",19475
"CARVALHO IMPORTS.","LUPPINIS,PICKLES,PUDINAND GELATIN MIX3 VLS W/LUPPINIS,PICKLES,PUDIN ANDGELATIN MIX11PT00028426269710 PT000284 20111207HS:19019099/22029010/20019097/1214909009109999",1075
"ATTWOOD CORPORATION, A BRUNSWICK CO","LAKESPORT",1534
"COSTCO WHOLESALE CORPORATION","FINISHED UPHOLSTERY PRODUCTS FINISHED UPHOLSTERY PRODUCTS PO#267-0910-798 IF APPLICABLE CPSIA URL - WWW.COSTCOCPSIA.COM",2886
"ORCA BAY SEAFOODS INC.","Flat fish - Pleuronectidae BothidaeFROZEN WILD FLOUNDER FILLETSIQF SKINOFF AND BONELESS-THE ORIGIN OF RAWMATERIALS(FISH)IS ALASKA USATHIS SHIPMENT CONTAINS NO SOLID",23700
"HELLMANN WORLDWIDE LOGISTICS,INC.","GRANITE &ARTIFICIAL PRODUCTS GRANITE &ARTIFICIAL PRODUCTS (SANTA CECILIA LIGHT BALTIC BOWN, TQ09 WOVEN WOOL) THIS SHIPMENT HAS BEEN FUMIGATED",13250
"HELLMANN WORLDWIDE LOGISTICS INC.","23 PKG TIRE MOUNTING COMPOUND INVOICE NO FS 893/TO/2015 HS CODE 3401209 SCAC CODE POLN A/C NAME ARTUS",17357
"MASTERBRAND CABINETS OZBURN-HESSEY","DRAWER SIDE NAMED ACCOUNT:MBCI DRAWER SIDE PO NO.176926",13484
"MARUCHAN VIRGINIA INC","PLAST,FLAT,TH>.152MM1 X 40643 BOXES = 1,286 ROLLS OFPACKING ROLL FILM AS PERPURCHASE ORDER NO.4610008457306 ROLLS OF RS LAMINATE FILMBEEF(NEW)PACKING ROLL FILM AS PERPURCHASE ORDER NO.4610008792240 ROLLS OF RS.LAMINATE FILMCHICKEN(NEW)PACKING ROLL FILM AS PERPURCHASE ORDER NO.4610008793390 ROLLS OF RS.LAMINATE FILMBEEF(NEW)PACKING ROLL FILM AS PERPURCHASE ORDER NO.4610009055150 ROLLS OF 6 PACK CHICKENFILM(NEW)PACKING ROLL FILM AS PERPURCHASE ORDER NO.4610009056200 ROLLS OF 6 PACK CHICKENFILM(NEW)",22733
"QUEEN APPAREL NY INC","CARTONS LADIES SKIRT KNIT",2163
"ORION AMERICA, INC.","PARTS FOR CTV",35
"SEA CATCH MARKET FRESH ADVANTAGE","FROZEN SHRIMP",17825
"COSTCO WHOLESALE CORPORATION","TOYS,AQUADOTS SUPER STUDIO TOYS PURCHASE ORDER NO.960-0522-865 ITEM NO.211218 AQUADOTS SUPER STUDIO MODEL NO.6008999 QTY:5764PCS=1441CTNS SHIPPER: SPIN MASTER TOYS FAR EAST LIMITED RM 1113,11/F,CHIACHEM GOLDEN PLAZA, 77 MODY ROAD,TSIM SHA TSUI EAST,KLN., H.K. CONTACT:BRENDA LO THE SHIPMENT DOES NOT CONTAIN ANY SOLID WOOD PACKING MATERIAL",6773
"PEGASUS MARITIME INC.","17(SEVENTEEN) CASES ONLY CONTAINING NON ALLOY STEEL FORGINGS(MACHINED) HARVESTER COMBINE PARTS SB NO.: 4895470 DTD 10.04.2013 HS CODE : 843390 ' FREIGHT COLLECT '' SCAC CODE PGSM",12077
"H AND T SEAFOOD","INSTANT NOODLES",5688
"TRIDENT SEAFOOD","1X45RF LCL/FCL CONTAINER CONTAINING 20 PLTS SLAC TOTAL OF 780CS ON 16PLTS GADUS MORHUA TOTAL OF 180CS ON 4PLTS MELANOGRAMMUS AEGLEFINUS REF. PO746104 000 OS TOTAL NET. WEIGHT 55.200LBS. TOTAL BRT. WEIGHT 59.892LBS. SO1431995",27168
"NISSIN TRANSPORT(CANADA)INC.","1163 CTNGLICO PRODUCTSWAY BILLHS CODE 1905.31",10831
"HIGH LINER FOODS INC.","1900CTNS IQF PINK SALMON PORTIONS SET T TERIALS. ACTUAL VENDOR: QINGDAO JIAYUAN",26485
"TO THE ORDER OF ORE-CAL CORPORATION","ONE CONTAINER. FROZEN SHRIMP. REFERRING TO P.O.NO. 031913T RFL /07091308. REFERRING TO P.O.NO. 070813TRFL1/07091307. N.W.30,400.00 LBS. G.W.39,71 0.00 LBS. INVOICE NO.13-326 . DDC AND TERMINAL CHARGES HA VE BEEN PREPAID BY THAI ROYA L FROZEN FOOD CO.,LTD. GOOD S STOWED IN REFRIGERATED CONTA INER AT MINUS 20 DEGREES CEN TIGRADE OR MINUS 4 DEGREES FAH RENHEIT. NAME AND ADDRESS O F SHIPPER/PACKER/MANUFACTURER: THAI ROYAL FROZEN FOOD CO.,L TD. 119/99 MOO 1 TAMBON TACHI N, AMPHUR MUANG,SAMUTSAKORN 7 4000,THAILAND.",18088
"LIMSON TRADING, INC.","SWAI FISH FILLETS -PANGASIUS HYPOPHTHALMUS- NET WEIGHT- 37,000.00 LBS FDA REGISTRATION NUMBER- 13975326144 COMMODITY HTSUS NUMBER- 03046200 PURCHASE ORDER- 25517 FREIGHT PREPAID ; STANDARD TEMPERATURE CLAUSE -CARGO IS STOWED IN A REFRIGERATED CONTAINER SET AT THE SHIPPER-S REQUESTED CARRYING TEMPERATURE OF MINUS TWENTY --20- DEGREES CELSIUS- ;",19844
"WAL-MART STORES, INC","SCRAPER-18 LONG (FOR AQUARIUM TANK) GLN NO. 0078742000008 CLASS NO.0023 SCRAPER-18 LONG (FOR AQUARIUM TANK) PO# 9551732478 ITEM NO.000811730 INV. NO.061258 VENDOR DECLARE THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIAL PO TYPE0023 H.S. CODE3924905500 SERVICE CONTRACT SC22855 CARGO RECEIVED AT KEELUNG PART OF 1 X 2SD THE SAME THE SAME THE SAME",1163
"BEST FOOD SERVICE INC","BAKING SODA",19146
"GIANT UNION CO INC","COOKING WINE",24850
"COSTCO WHOLESALE CORPORATION","TOYS ITEM NO.: 253189 QTY: 1280 PCS SUITE 1113, 11/F, CHINACHEM GOLDEN CONTACT:WING LAI THE SHIPMENT DOES NOT CONTAIN ANY",3328
"COSTCO WHOLESALE CORPORATION","HIGH SIERRA ELITE PACK FY13 HIGH SIERRA ELITE PACK FY13 PO#267-1129-587 . IF APPLICABLE CPSIA URL-WWW.COSTCOCPSIA.COM THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIALS . . @DONG ROAD,FUZHOU,CHINA",4977
"OCEAN BLUE EXPRESS LA OFFICE","CONTROLLER 360 PCS ACT SUPPORTING ANGLE 800 PCS FASTENERS 780 PCS ROTATING SHAFT 4,680 PCS C-PULIN 2,160 PCS SLEW DRIVE 36 PCS ACTUATOR 40 PCS CONTROLLER 360 PCS ACT SUPPORTING ANGLE 800 PCS FASTENERS 780 PCS ROTATING SHAFT 4,680 PCS C-PULIN 2,160 PCS SLEW DRIVE 36 PCS ACTUATOR 40 PCS CONTROLLER 360 PCS ACT SUPPORTING ANGLE 800 PCS FASTENERS 780 PCS ROTATING SHAFT 4,680 PCS C-PULIN 2,160 PCS SLEW DRIVE 36 PCS ACTUATOR 40 PCS CONTROLLER 360 PCS ACT SUPPORTING ANGLE 800 PCS FASTENERS 780 PCS ROTATING SHAFT 4,680 PCS C-PULIN 2,160 PCS SLEW DRIVE 36 PCS ACTUATOR 40 PCS CONTROLLER 360 PCS ACT SUPPORTING ANGLE 800 PCS FASTENERS 780 PCS ROTATING SHAFT 4,680 PCS C-PULIN 2,160 PCS SLEW DRIVE 36 PCS ACTUATOR 40 PCS INVOICE NO. USA-SAT-150907-2 ---FREIGHT PREPAID--- INVOICE NO. USA-SAT-150907-2 ---FREIGHT PREPAID--- INVOICE NO. USA-SAT-150907-2 ---FREIGHT PREPAID--- INVOICE NO. USA-SAT-150907-2 ---FREIGHT PREPAID--- INVOICE NO. USA-SAT-150907-2 ---FREIGHT PREPAID---",93090
"NISSIN INTERNATIONAL TRANSPORT U.S.","FROZEN EEL(UNAGI KABAYAKI)",17850
