,x,,,,,,,Variables,Dim.1,Dim.2,Dim.3
3545,,,,,,,,dominated,0.013,0,-0.002
3546,,,,,,,,emotion,0.013,0,-0.006
3547,,,,,,,,copy,0.013,0,-0.008
3548,,,,,,,,dilemmas,0.012,0,-0.007
3549,,,,,,,,highrisk,0.012,0,-0.007
3550,,,,,,,,owns,0.012,0,-0.007
3551,,,,,,,,submitted,0.011,0,0.007
3552,,,,,,,,composite,0.011,0,-0.005
3553,,,,,,,,gartner,0.011,0,-0.005
3554,,,,,,,,waiting,0.011,0,-0.005
3555,,,,,,,,upcoming,0.011,0,-0.012
3556,,,,,,,,library,0.01,0,-0.01
3557,,,,,,,,emotions,0.009,0,0.001
3558,,,,,,,,cartoons,0.009,0,-0.004
3559,,,,,,,,genres,0.009,0,-0.004
3560,,,,,,,,movies,0.009,0,-0.004
3561,,,,,,,,runway,0.009,0,-0.004
3562,,,,,,,,opened,0.008,0,-0.007
3563,,,,,,,,queries,0.008,0,-0.008
3564,,,,,,,,kinds,0.008,0,-0.019
3565,,,,,,,,thanks,0.007,0,0.002
3566,,,,,,,,empower,0.007,0,0
3567,,,,,,,,anomalous,0.007,0,-0.005
3568,,,,,,,,lure,0.007,0,-0.005
3569,,,,,,,,roberta,0.007,0,-0.006
3570,,,,,,,,certainly,0.007,0,-0.007
3571,,,,,,,,analysis,0.007,0,-0.013
3572,,,,,,,,partnerships,0.006,0,-0.003
3573,,,,,,,,invests,0.006,0,-0.005
3574,,,,,,,,licensing,0.005,0,0.001
3575,,,,,,,,evade,0.005,0,-0.003
3576,,,,,,,,monitored,0.005,0,-0.005
3577,,,,,,,,bulletpoint,0.005,0,-0.006
3578,,,,,,,,crime,0.005,0,-0.006
3579,,,,,,,,dostoyevsky’s,0.005,0,-0.006
3580,,,,,,,,enthusiast,0.005,0,-0.006
3581,,,,,,,,finesse,0.005,0,-0.006
3582,,,,,,,,frame,0.005,0,-0.006
3583,,,,,,,,functioning,0.005,0,-0.006
3584,,,,,,,,implied,0.005,0,-0.006
3585,,,,,,,,intelligible,0.005,0,-0.006
3586,,,,,,,,mcdonald’s,0.005,0,-0.006
3587,,,,,,,,nondirect,0.005,0,-0.006
3588,,,,,,,,nonobvious,0.005,0,-0.006
3589,,,,,,,,punishment,0.005,0,-0.006
3590,,,,,,,,readymarket,0.005,0,-0.006
3591,,,,,,,,racing,0.005,0,-0.007
3592,,,,,,,,play,0.005,0,-0.009
3593,,,,,,,,configured,0.005,0,-0.01
3594,,,,,,,,desktops,0.005,0,-0.01
3595,,,,,,,,digitally,0.005,0,-0.01
3596,,,,,,,,laptops,0.005,0,-0.01
3597,,,,,,,,mitigations,0.005,0,-0.01
3598,,,,,,,,relied,0.005,0,-0.01
3599,,,,,,,,sandbox,0.005,0,-0.01
3600,,,,,,,,sandboxes,0.005,0,-0.01
3601,,,,,,,,serving,0.005,0,-0.01
3602,,,,,,,,simulates,0.005,0,-0.01
3603,,,,,,,,suspicious,0.005,0,-0.012
3604,,,,,,,,assistants,0.005,0,-0.014
3605,,,,,,,,gender,0.004,0,-0.009
3606,,,,,,,,headlines,0.004,0,-0.01
3607,,,,,,,,speaks,0.004,0,-0.012
3608,,,,,,,,following,0.004,0,-0.015
3609,,,,,,,,passing,0.003,0,-0.001
3610,,,,,,,,lifespans,0.003,0,-0.001
3611,,,,,,,,truth,0.003,0,-0.003
3612,,,,,,,,fails,0.003,0,-0.004
3613,,,,,,,,generators,0.003,0,-0.004
3614,,,,,,,,langkit,0.003,0,-0.004
3615,,,,,,,,toolkit,0.003,0,-0.004
3616,,,,,,,,whylabs,0.003,0,-0.004
3617,,,,,,,,toronto,0.003,0,-0.007
3618,,,,,,,,python,0.003,0,-0.01
3619,,,,,,,,replicate,0.003,0,-0.01
3620,,,,,,,,userfriendly,0.003,0,-0.015
3621,,,,,,,,tailoring,0.002,0,0.002
3622,,,,,,,,brands,0.002,0,-0.002
3623,,,,,,,,amplify,0.002,0,-0.003
3624,,,,,,,,humanities,0.002,0,-0.003
3625,,,,,,,,kirshbaum,0.002,0,-0.003
3626,,,,,,,,defines,0.002,0,-0.003
3627,,,,,,,,facets,0.002,0,-0.003
3628,,,,,,,,glossary,0.002,0,-0.003
3629,,,,,,,,aws’s,0.002,0,-0.003
3630,,,,,,,,carevector,0.002,0,-0.003
3631,,,,,,,,healthlake,0.002,0,-0.003
3632,,,,,,,,pharmapulse,0.002,0,-0.003
3633,,,,,,,,advise,0.002,0,-0.005
3634,,,,,,,,databasesanalysis,0.002,0,-0.005
3635,,,,,,,,decisionswriting,0.002,0,-0.005
3636,,,,,,,,economists,0.002,0,-0.005
3637,,,,,,,,economythe,0.002,0,-0.005
3638,,,,,,,,otherspolicymaking,0.002,0,-0.005
3639,,,,,,,,presentations,0.002,0,-0.005
3640,,,,,,,,researchdata,0.002,0,-0.005
3641,,,,,,,,researchllms,0.002,0,-0.005
3642,,,,,,,,usecases,0.002,0,-0.005
3643,,,,,,,,workexperimentation,0.002,0,-0.005
3644,,,,,,,,workseducation,0.002,0,-0.005
3645,,,,,,,,android,0.002,0,-0.006
3646,,,,,,,,cardiovascular,0.002,0,-0.006
3647,,,,,,,,obstacle,0.002,0,-0.006
3648,,,,,,,,feifei,0.002,0,-0.006
3649,,,,,,,,fireside,0.002,0,-0.006
3650,,,,,,,,takeaway,0.002,0,-0.006
3651,,,,,,,,writer,0.002,0,-0.006
3652,,,,,,,,particular,0.002,0,-0.007
3653,,,,,,,,keywords,0.002,0,-0.007
3654,,,,,,,,conducts,0.002,0,-0.008
3655,,,,,,,,exaggerated,0.002,0,-0.008
3656,,,,,,,,sensational,0.002,0,-0.008
3657,,,,,,,,struggles,0.002,0,-0.008
3658,,,,,,,,showcasing,0.001,0,-0.001
3659,,,,,,,,condense,0.001,0,-0.001
3660,,,,,,,,joseph,0.001,0,-0.003
3661,,,,,,,,thacker,0.001,0,-0.003
3662,,,,,,,,thackers,0.001,0,-0.003
3663,,,,,,,,anthropic,0.001,0,-0.004
3664,,,,,,,,baidus,0.001,0,-0.004
3665,,,,,,,,huawei,0.001,0,-0.004
3666,,,,,,,,nvidiaquot,0.001,0,-0.004
3667,,,,,,,,quottop,0.001,0,-0.004
3668,,,,,,,,wudao,0.001,0,-0.004
3669,,,,,,,,learned,0.001,0,-0.005
3670,,,,,,,,module,0.001,0,-0.005
3671,,,,,,,,teaches,0.001,0,-0.005
3672,,,,,,,,arsenal,0.001,0,-0.01
3673,,,,,,,,uncovering,0,0,0.004
3674,,,,,,,,cumulative,0,0,0.001
3675,,,,,,,,elicitation,0,0,0.001
3676,,,,,,,,optimizes,0,0,0.001
3677,,,,,,,,preference,0,0,0.001
3678,,,,,,,,reward,0,0,0.001
3679,,,,,,,,simpler,0,0,0.001
3680,,,,,,,,explanation,0,0,-0.001
3681,,,,,,,,compile,0,0,-0.002
3682,,,,,,,,covidscholar,0,0,-0.002
3683,,,,,,,,explorer,0,0,-0.002
3684,,,,,,,,kaggles,0,0,-0.002
3685,,,,,,,,keyword,0,0,-0.002
3686,,,,,,,,passages,0,0,-0.002
3687,,,,,,,,scisight,0,0,-0.002
3688,,,,,,,,searches,0,0,-0.002
3689,,,,,,,,extensibility,0,0,-0.003
3690,,,,,,,,calibrated,0,0,-0.004
3691,,,,,,,,cartridges,0,0,-0.004
3692,,,,,,,,circular,0,0,-0.004
3693,,,,,,,,detects,0,0,-0.004
3694,,,,,,,,dexpatch,0,0,-0.004
3695,,,,,,,,disposable,0,0,-0.004
3696,,,,,,,,fingerstick,0,0,-0.004
3697,,,,,,,,lasts,0,0,-0.004
3698,,,,,,,,prohibitive,0,0,-0.004
3699,,,,,,,,readings,0,0,-0.004
3700,,,,,,,,stability,0,0,-0.004
3701,,,,,,,,fluent,0,0,-0.004
3702,,,,,,,,recordings,0,0,-0.004
3703,,,,,,,,biogpt,0,0,-0.005
3704,,,,,,,,graph,0,0,-0.005
3705,,,,,,,,executed,0,0,-0.006
3706,,,,,,,,biomedical,0,0,-0.007
3707,,,,,,,,selecting,0,0,-0.008
3708,,,,,,,,isolate,0,0,-0.008
3709,,,,,,,,hugging,0,0,-0.008
3710,,,,,,,,programming,0,0,-0.01
3711,,,,,,,,clustering,0,0,-0.01
3712,,,,,,,,combines,0,0,-0.013
3713,,,,,,,,often,0,0,-0.017
3714,,,,,,,,existing,0,0,-0.023
3715,,,,,,,,impairment,-0.001,0,0.002
3716,,,,,,,,neurosynth,-0.001,0,0.002
3717,,,,,,,,nursing,-0.001,0,0.002
3718,,,,,,,,portability,-0.001,0,0.002
3719,,,,,,,,typing,-0.001,0,0.002
3720,,,,,,,,wanted,-0.001,0,0.002
3721,,,,,,,,wheelchair,-0.001,0,0.002
3722,,,,,,,,proven,-0.001,0,0.002
3723,,,,,,,,baichaun,-0.001,0,-0.002
3724,,,,,,,,whopping,-0.001,0,-0.002
3725,,,,,,,,quotchatbots,-0.001,0,-0.003
3726,,,,,,,,biocomputers,-0.001,0,-0.003
3727,,,,,,,,biocomputing,-0.001,0,-0.003
3728,,,,,,,,clumps,-0.001,0,-0.003
3729,,,,,,,,culturing,-0.001,0,-0.003
3730,,,,,,,,glia,-0.001,0,-0.003
3731,,,,,,,,miniature,-0.001,0,-0.003
3732,,,,,,,,organoids,-0.001,0,-0.003
3733,,,,,,,,selforganize,-0.001,0,-0.003
3734,,,,,,,,synapses,-0.001,0,-0.003
3735,,,,,,,,amalgamated,-0.001,0,-0.004
3736,,,,,,,,famous,-0.001,0,-0.004
3737,,,,,,,,france,-0.001,0,-0.004
3738,,,,,,,,dates,-0.001,0,-0.004
3739,,,,,,,,hallucinated,-0.001,0,-0.004
3740,,,,,,,,reliably,-0.001,0,-0.004
3741,,,,,,,,writers,-0.001,0,-0.004
3742,,,,,,,,reportedly,-0.001,0,-0.005
3743,,,,,,,,profile,-0.001,0,-0.005
3744,,,,,,,,repurposing,-0.001,0,-0.005
3745,,,,,,,,overhead,-0.001,0,-0.006
3746,,,,,,,,matches,-0.001,0,-0.006
3747,,,,,,,,superposition,-0.001,0,-0.006
3748,,,,,,,,unsolvable,-0.001,0,-0.007
3749,,,,,,,,naive,-0.001,0,-0.007
3750,,,,,,,,copilot,-0.001,0,-0.008
3751,,,,,,,,engineer,-0.001,0,-0.009
3752,,,,,,,,acknowledge,-0.001,0,-0.009
3753,,,,,,,,countless,-0.001,0,-0.012
3754,,,,,,,,factoring,-0.002,0,0
3755,,,,,,,,mathematically,-0.002,0,0
3756,,,,,,,,primes,-0.002,0,0
3757,,,,,,,,qday,-0.002,0,0
3758,,,,,,,,resolve,-0.002,0,0
3759,,,,,,,,safeguard,-0.002,0,0
3760,,,,,,,,secures,-0.002,0,0
3761,,,,,,,,transitioning,-0.002,0,0
3762,,,,,,,,uncovered,-0.002,0,0
3763,,,,,,,,prevented,-0.002,0,0
3764,,,,,,,,marking,-0.002,0,0
3765,,,,,,,,energyintensive,-0.002,0,-0.003
3766,,,,,,,,cited,-0.002,0,-0.003
3767,,,,,,,,distinguish,-0.002,0,-0.003
3768,,,,,,,,fungi,-0.002,0,-0.003
3769,,,,,,,,fungis,-0.002,0,-0.003
3770,,,,,,,,genus,-0.002,0,-0.003
3771,,,,,,,,pneumoniae,-0.002,0,-0.003
3772,,,,,,,,streptococcus,-0.002,0,-0.003
3773,,,,,,,,blurred,-0.002,0,-0.003
3774,,,,,,,,higherresolution,-0.002,0,-0.003
3775,,,,,,,,highresolution,-0.002,0,-0.003
3776,,,,,,,,lymph,-0.002,0,-0.003
3777,,,,,,,,nearinfrared,-0.002,0,-0.003
3778,,,,,,,,niri,-0.002,0,-0.003
3779,,,,,,,,niriia,-0.002,0,-0.003
3780,,,,,,,,niriib,-0.002,0,-0.003
3781,,,,,,,,node,-0.002,0,-0.003
3782,,,,,,,,resembled,-0.002,0,-0.003
3783,,,,,,,,signalbackground,-0.002,0,-0.003
3784,,,,,,,,treatable,-0.002,0,-0.003
3785,,,,,,,,vivo,-0.002,0,-0.003
3786,,,,,,,,dimensions,-0.002,0,-0.003
3787,,,,,,,,perceive,-0.002,0,-0.003
3788,,,,,,,,accelerator,-0.002,0,-0.003
3789,,,,,,,,cerebras,-0.002,0,-0.003
3790,,,,,,,,cerebrass,-0.002,0,-0.003
3791,,,,,,,,waferscale,-0.002,0,-0.003
3792,,,,,,,,jiuzhang,-0.002,0,-0.003
3793,,,,,,,,nlqi,-0.002,0,-0.003
3794,,,,,,,,collecting,-0.002,0,-0.004
3795,,,,,,,,aids,-0.002,0,-0.004
3796,,,,,,,,impairments,-0.002,0,-0.004
3797,,,,,,,,printed,-0.002,0,-0.004
3798,,,,,,,,facilitating,-0.002,0,-0.004
3799,,,,,,,,pharmacovigilance,-0.002,0,-0.004
3800,,,,,,,,scripting,-0.002,0,-0.004
3801,,,,,,,,clicks,-0.002,0,-0.004
3802,,,,,,,,dragging,-0.002,0,-0.004
3803,,,,,,,,drags,-0.002,0,-0.004
3804,,,,,,,,plantbased,-0.002,0,-0.005
3805,,,,,,,,labor,-0.002,0,-0.005
3806,,,,,,,,remember,-0.002,0,-0.005
3807,,,,,,,,mutations,-0.002,0,-0.005
3808,,,,,,,,interconnected,-0.002,0,-0.005
3809,,,,,,,,onestopshop,-0.002,0,-0.005
3810,,,,,,,,aifirst,-0.002,0,-0.005
3811,,,,,,,,infosys,-0.002,0,-0.005
3812,,,,,,,,partnered,-0.002,0,-0.005
3813,,,,,,,,topaz,-0.002,0,-0.005
3814,,,,,,,,penetration,-0.002,0,-0.006
3815,,,,,,,,mammography,-0.002,0,-0.007
3816,,,,,,,,downside,-0.002,0,-0.007
3817,,,,,,,,ghassemi,-0.002,0,-0.007
3818,,,,,,,,marzyeh,-0.002,0,-0.007
3819,,,,,,,,humanmachine,-0.002,0,-0.008
3820,,,,,,,,selection,-0.002,0,-0.008
3821,,,,,,,,databricks,-0.002,0,-0.008
3822,,,,,,,,coding,-0.002,0,-0.009
3823,,,,,,,,passionate,-0.002,0,-0.009
3824,,,,,,,,abnormalities,-0.002,0,-0.01
3825,,,,,,,,streamline,-0.002,0,-0.011
3826,,,,,,,,temperatures,-0.003,0,0.004
3827,,,,,,,,barrier,-0.003,0,0.001
3828,,,,,,,,sorting,-0.003,0,0
3829,,,,,,,,privacypreserving,-0.003,0,-0.001
3830,,,,,,,,gets,-0.003,0,-0.002
3831,,,,,,,,sick,-0.003,0,-0.002
3832,,,,,,,,borealis,-0.003,0,-0.002
3833,,,,,,,,shortest,-0.003,0,-0.002
3834,,,,,,,,scrape,-0.003,0,-0.002
3835,,,,,,,,scraper,-0.003,0,-0.002
3836,,,,,,,,scraping,-0.003,0,-0.002
3837,,,,,,,,simplifies,-0.003,0,-0.002
3838,,,,,,,,daily,-0.003,0,-0.003
3839,,,,,,,,skypilot,-0.003,0,-0.003
3840,,,,,,,,algorithmquot,-0.003,0,-0.003
3841,,,,,,,,crystalskyber,-0.003,0,-0.003
3842,,,,,,,,finalist,-0.003,0,-0.003
3843,,,,,,,,quotai,-0.003,0,-0.003
3844,,,,,,,,quotrecursive,-0.003,0,-0.003
3845,,,,,,,,recursive,-0.003,0,-0.003
3846,,,,,,,,retrained,-0.003,0,-0.003
3847,,,,,,,,trainingquot,-0.003,0,-0.003
3848,,,,,,,,filter,-0.003,0,-0.003
3849,,,,,,,,foolproof,-0.003,0,-0.003
3850,,,,,,,,quotcan,-0.003,0,-0.003
3851,,,,,,,,tricking,-0.003,0,-0.003
3852,,,,,,,,colocation,-0.003,0,-0.003
3853,,,,,,,,delphi,-0.003,0,-0.003
3854,,,,,,,,epidemiology,-0.003,0,-0.003
3855,,,,,,,,facilities,-0.003,0,-0.003
3856,,,,,,,,informatics,-0.003,0,-0.003
3857,,,,,,,,interviewing,-0.003,0,-0.003
3858,,,,,,,,microbiology,-0.003,0,-0.003
3859,,,,,,,,networked,-0.003,0,-0.003
3860,,,,,,,,organizational,-0.003,0,-0.003
3861,,,,,,,,summarizes,-0.003,0,-0.003
3862,,,,,,,,synergies,-0.003,0,-0.003
3863,,,,,,,,samds,-0.003,0,-0.003
3864,,,,,,,,recipe,-0.003,0,-0.004
3865,,,,,,,,synthesized,-0.003,0,-0.004
3866,,,,,,,,epilepsy,-0.003,0,-0.004
3867,,,,,,,,spoke,-0.003,0,-0.004
3868,,,,,,,,aggregate,-0.003,0,-0.004
3869,,,,,,,,growers,-0.003,0,-0.004
3870,,,,,,,,microbiological,-0.003,0,-0.004
3871,,,,,,,,swabbing,-0.003,0,-0.004
3872,,,,,,,,swabs,-0.003,0,-0.004
3873,,,,,,,,unevenly,-0.003,0,-0.004
3874,,,,,,,,akooda,-0.003,0,-0.004
3875,,,,,,,,akoodas,-0.003,0,-0.004
3876,,,,,,,,lengthy,-0.003,0,-0.004
3877,,,,,,,,meetingbased,-0.003,0,-0.004
3878,,,,,,,,desktop,-0.003,0,-0.004
3879,,,,,,,,beta,-0.003,0,-0.004
3880,,,,,,,,computingquot,-0.003,0,-0.004
3881,,,,,,,,hails,-0.003,0,-0.004
3882,,,,,,,,quotgoogle,-0.003,0,-0.004
3883,,,,,,,,anonymous,-0.003,0,-0.005
3884,,,,,,,,arrhythmia,-0.003,0,-0.005
3885,,,,,,,,beaming,-0.003,0,-0.005
3886,,,,,,,,crunch,-0.003,0,-0.005
3887,,,,,,,,nanoelectronic,-0.003,0,-0.005
3888,,,,,,,,saves,-0.003,0,-0.005
3889,,,,,,,,chan,-0.003,0,-0.005
3890,,,,,,,,mysteries,-0.003,0,-0.005
3891,,,,,,,,technologists,-0.003,0,-0.005
3892,,,,,,,,zuckerberg,-0.003,0,-0.005
3893,,,,,,,,intersection,-0.003,0,-0.005
3894,,,,,,,,analogs,-0.003,0,-0.005
3895,,,,,,,,antivirals,-0.003,0,-0.005
3896,,,,,,,,inhibitors,-0.003,0,-0.005
3897,,,,,,,,nucleoside,-0.003,0,-0.005
3898,,,,,,,,polymerase,-0.003,0,-0.005
3899,,,,,,,,protease,-0.003,0,-0.005
3900,,,,,,,,proteases,-0.003,0,-0.005
3901,,,,,,,,replication,-0.003,0,-0.005
3902,,,,,,,,wane,-0.003,0,-0.005
3903,,,,,,,,wanes,-0.003,0,-0.005
3904,,,,,,,,clicking,-0.003,0,-0.005
3905,,,,,,,,macos,-0.003,0,-0.005
3906,,,,,,,,draggan,-0.003,0,-0.005
3907,,,,,,,,electronic,-0.003,0,-0.006
3908,,,,,,,,interviews,-0.003,0,-0.006
3909,,,,,,,,iterations,-0.003,0,-0.006
3910,,,,,,,,james,-0.003,0,-0.006
3911,,,,,,,,mvps,-0.003,0,-0.006
3912,,,,,,,,procopios,-0.003,0,-0.006
3913,,,,,,,,vanity,-0.003,0,-0.006
3914,,,,,,,,windows,-0.003,0,-0.006
3915,,,,,,,,annotation,-0.003,0,-0.006
3916,,,,,,,,mammogram,-0.003,0,-0.006
3917,,,,,,,,think,-0.003,0,-0.007
3918,,,,,,,,deal,-0.003,0,-0.007
3919,,,,,,,,examine,-0.003,0,-0.007
3920,,,,,,,,relying,-0.003,0,-0.008
3921,,,,,,,,alchemy,-0.003,0,-0.008
3922,,,,,,,,grand,-0.003,0,-0.008
3923,,,,,,,,highstakes,-0.003,0,-0.008
3924,,,,,,,,predominantly,-0.003,0,-0.008
3925,,,,,,,,competitors,-0.003,0,-0.008
3926,,,,,,,,proposition,-0.003,0,-0.01
3927,,,,,,,,datadriven,-0.003,0,-0.011
3928,,,,,,,,despite,-0.003,0,-0.011
3929,,,,,,,,clients,-0.003,0,-0.011
3930,,,,,,,,disciplines,-0.003,0,-0.013
3931,,,,,,,,harness,-0.003,0,-0.014
3932,,,,,,,,problem,-0.003,0,-0.019
3933,,,,,,,,define,-0.004,0,0.001
3934,,,,,,,,analyzed,-0.004,0,0
3935,,,,,,,,ponemon,-0.004,0,0
3936,,,,,,,,optimism,-0.004,0,0
3937,,,,,,,,mobility,-0.004,0,-0.001
3938,,,,,,,,admitted,-0.004,0,-0.001
3939,,,,,,,,intensive,-0.004,0,-0.001
3940,,,,,,,,microarray,-0.004,0,-0.001
3941,,,,,,,,standardize,-0.004,0,-0.002
3942,,,,,,,,commercializing,-0.004,0,-0.002
3943,,,,,,,,placeholders,-0.004,0,-0.002
3944,,,,,,,,powerpoint,-0.004,0,-0.002
3945,,,,,,,,slides”,-0.004,0,-0.002
3946,,,,,,,,“i,-0.004,0,-0.002
3947,,,,,,,,xray,-0.004,0,-0.003
3948,,,,,,,,clostridium,-0.004,0,-0.003
3949,,,,,,,,difficile,-0.004,0,-0.003
3950,,,,,,,,halicin,-0.004,0,-0.003
3951,,,,,,,,nanotech,-0.004,0,-0.003
3952,,,,,,,,ruthenium,-0.004,0,-0.003
3953,,,,,,,,disaster,-0.004,0,-0.003
3954,,,,,,,,imagery,-0.004,0,-0.003
3955,,,,,,,,scene,-0.004,0,-0.003
3956,,,,,,,,segmentation,-0.004,0,-0.003
3957,,,,,,,,watsonxai,-0.004,0,-0.003
3958,,,,,,,,wars,-0.004,0,-0.003
3959,,,,,,,,synthesize,-0.004,0,-0.004
3960,,,,,,,,coherence,-0.004,0,-0.004
3961,,,,,,,,computings,-0.004,0,-0.004
3962,,,,,,,,horse,-0.004,0,-0.004
3963,,,,,,,,heidi,-0.004,0,-0.004
3964,,,,,,,,shyu,-0.004,0,-0.004
3965,,,,,,,,undersecretary,-0.004,0,-0.004
3966,,,,,,,,wound,-0.004,0,-0.005
3967,,,,,,,,organchip,-0.004,0,-0.005
3968,,,,,,,,patientspecific,-0.004,0,-0.005
3969,,,,,,,,plugplay,-0.004,0,-0.005
3970,,,,,,,,slide,-0.004,0,-0.005
3971,,,,,,,,expects,-0.004,0,-0.005
3972,,,,,,,,derivatives,-0.004,0,-0.005
3973,,,,,,,,collaborating,-0.004,0,-0.006
3974,,,,,,,,meetings,-0.004,0,-0.006
3975,,,,,,,,branches,-0.004,0,-0.006
3976,,,,,,,,tensorflownet,-0.004,0,-0.006
3977,,,,,,,,spinq,-0.004,0,-0.006
3978,,,,,,,,maintenance,-0.004,0,-0.007
3979,,,,,,,,slack,-0.004,0,-0.007
3980,,,,,,,,afraid,-0.004,0,-0.007
3981,,,,,,,,disruptive,-0.004,0,-0.007
3982,,,,,,,,dream,-0.004,0,-0.007
3983,,,,,,,,mindset,-0.004,0,-0.007
3984,,,,,,,,rewarding,-0.004,0,-0.007
3985,,,,,,,,measured,-0.004,0,-0.008
3986,,,,,,,,atom,-0.004,0,-0.008
3987,,,,,,,,diabetes,-0.004,0,-0.009
3988,,,,,,,,transactions,-0.004,0,-0.01
3989,,,,,,,,authors,-0.004,0,-0.01
3990,,,,,,,,staff,-0.005,0,0.014
3991,,,,,,,,region,-0.005,0,0
3992,,,,,,,,riken,-0.005,0,-0.001
3993,,,,,,,,respects,-0.005,0,-0.002
3994,,,,,,,,viral,-0.005,0,-0.002
3995,,,,,,,,capitalist,-0.005,0,-0.002
3996,,,,,,,,eqrx,-0.005,0,-0.002
3997,,,,,,,,moderna,-0.005,0,-0.002
3998,,,,,,,,nelsen,-0.005,0,-0.002
3999,,,,,,,,prescient,-0.005,0,-0.002
4000,,,,,,,,download,-0.005,0,-0.002
4001,,,,,,,,technologyhere,-0.005,0,-0.002
4002,,,,,,,,pragmatic,-0.005,0,-0.003
4003,,,,,,,,hypothetical,-0.005,0,-0.003
4004,,,,,,,,breakout,-0.005,0,-0.003
4005,,,,,,,,fishburne,-0.005,0,-0.003
4006,,,,,,,,fishburnes,-0.005,0,-0.003
4007,,,,,,,,lindy,-0.005,0,-0.003
4008,,,,,,,,opus,-0.005,0,-0.003
4009,,,,,,,,participating,-0.005,0,-0.003
4010,,,,,,,,oversimplification,-0.005,0,-0.003
4011,,,,,,,,researcher’s,-0.005,0,-0.003
4012,,,,,,,,sevenyearold,-0.005,0,-0.003
4013,,,,,,,,tldr,-0.005,0,-0.003
4014,,,,,,,,foundry,-0.005,0,-0.003
4015,,,,,,,,loans,-0.005,0,-0.003
4016,,,,,,,,oncologists,-0.005,0,-0.003
4017,,,,,,,,tempus,-0.005,0,-0.003
4018,,,,,,,,measurements,-0.005,0,-0.004
4019,,,,,,,,bangladesh,-0.005,0,-0.004
4020,,,,,,,,malnourished,-0.005,0,-0.004
4021,,,,,,,,malnutrition,-0.005,0,-0.004
4022,,,,,,,,schedules,-0.005,0,-0.004
4023,,,,,,,,movements,-0.005,0,-0.005
4024,,,,,,,,meeting,-0.005,0,-0.005
4025,,,,,,,,articlesuperconducting,-0.005,0,-0.005
4026,,,,,,,,cooled,-0.005,0,-0.005
4027,,,,,,,,psiquantumsuperconducting,-0.005,0,-0.005
4028,,,,,,,,qubitshere,-0.005,0,-0.005
4029,,,,,,,,qubitshowever,-0.005,0,-0.005
4030,,,,,,,,qubitsthe,-0.005,0,-0.005
4031,,,,,,,,enzymatic,-0.005,0,-0.006
4032,,,,,,,,differs,-0.005,0,-0.006
4033,,,,,,,,northwestern,-0.005,0,-0.007
4034,,,,,,,,depend,-0.005,0,-0.007
4035,,,,,,,,assets,-0.005,0,-0.007
4036,,,,,,,,ionq,-0.005,0,-0.007
4037,,,,,,,,poised,-0.005,0,-0.008
4038,,,,,,,,radiology,-0.005,0,-0.008
4039,,,,,,,,interpreting,-0.005,0,-0.008
4040,,,,,,,,methodology,-0.005,0,-0.009
4041,,,,,,,,iterating,-0.005,0,-0.009
4042,,,,,,,,database,-0.005,0,-0.01
4043,,,,,,,,smarter,-0.005,0,-0.01
4044,,,,,,,,literature,-0.005,0,-0.012
4045,,,,,,,,already,-0.005,0,-0.018
4046,,,,,,,,transform,-0.005,0,-0.028
4047,,,,,,,,studies,-0.006,0,0.007
4048,,,,,,,,measure,-0.006,0,-0.001
4049,,,,,,,,generally,-0.006,0,-0.002
4050,,,,,,,,multitude,-0.006,0,-0.002
4051,,,,,,,,preventive,-0.006,0,-0.003
4052,,,,,,,,test,-0.006,0,-0.004
4053,,,,,,,,contains,-0.006,0,-0.004
4054,,,,,,,,diagnosed,-0.006,0,-0.004
4055,,,,,,,,compute,-0.006,0,-0.004
4056,,,,,,,,aibased,-0.006,0,-0.005
4057,,,,,,,,determined,-0.006,0,-0.005
4058,,,,,,,,holding,-0.006,0,-0.005
4059,,,,,,,,ails,-0.006,0,-0.005
4060,,,,,,,,benign,-0.006,0,-0.005
4061,,,,,,,,emanated,-0.006,0,-0.005
4062,,,,,,,,hfield,-0.006,0,-0.005
4063,,,,,,,,obfuscation,-0.006,0,-0.005
4064,,,,,,,,oscilloscope,-0.006,0,-0.005
4065,,,,,,,,raspberry,-0.006,0,-0.005
4066,,,,,,,,signaturebased,-0.006,0,-0.005
4067,,,,,,,,singleboard,-0.006,0,-0.005
4068,,,,,,,,spectrograms,-0.006,0,-0.005
4069,,,,,,,,drift,-0.006,0,-0.007
4070,,,,,,,,positives,-0.006,0,-0.007
4071,,,,,,,,plants,-0.006,0,-0.008
4072,,,,,,,,iterative,-0.006,0,-0.009
4073,,,,,,,,mission,-0.006,0,-0.01
4074,,,,,,,,retention,-0.006,0,-0.01
4075,,,,,,,,offerings,-0.006,0,-0.011
4076,,,,,,,,required,-0.006,0,-0.013
4077,,,,,,,,insight,-0.007,0,0.004
4078,,,,,,,,doing,-0.007,0,0.002
4079,,,,,,,,doomed,-0.007,0,0.002
4080,,,,,,,,fizzle,-0.007,0,0.002
4081,,,,,,,,hesitant,-0.007,0,0.002
4082,,,,,,,,pilot,-0.007,0,0.002
4083,,,,,,,,pilots,-0.007,0,0.002
4084,,,,,,,,proving,-0.007,0,0.002
4085,,,,,,,,pushback,-0.007,0,0.002
4086,,,,,,,,shaking,-0.007,0,0.002
4087,,,,,,,,testdrive,-0.007,0,0.002
4088,,,,,,,,tweak,-0.007,0,0.002
